WarehouseName,District,State,DistrictCSVpath
ADILABAD,Adilabad,Telangana,data/Adilabad.csv
ADILABAD II - HIRED,Adilabad,Telangana,data/Adilabad.csv
AHMEDABAD-I,Ahmedabad,Gujarat,data/Ahmedabad.csv
AJITWAL - HIRED,Moga,Punjab,data/Moga.csv
AKOLA-I,Akola,Maharashtra,data/Akola.csv
AKOLA-I-HIRED,Akola,Maharashtra,data/Akola.csv
AKOLA-II,Akola,Maharashtra,data/Akola.csv
AMRAVATI,Amravati,Maharashtra,data/Amravati.csv
AMRAVATI-HIRED,Amravati,Maharashtra,data/Amravati.csv
AMRITSAR,Amritsar,Punjab,data/Amritsar.csv
AMRITSAR BD,Amritsar,Punjab,data/Amritsar.csv
ANAND,Anand,Gujarat,data/Anand.csv
AVALPOONDURAI-HIRED NAFED,Erode,Tamil Nadu,data/Erode.csv
AVINASHI-HIRED NAFED,Tiruppur,Tamil Nadu,data/Erode.csv
BAHRAICH,Bahraich,Uttar Pradesh,data/Bahraich.csv
BALASORE-I,Balasore,Odisha,data/Balasore.csv
BALASORE-II,Balasore,Odisha,data/Balasore.csv
BALLIA,Ballia,Uttar Pradesh,data/Ballia.csv
BANDA,Banda,Uttar Pradesh,data/Banda.csv
BARGARH,Bargarh,Odisha,data/Bargarh.csv
BARHI,Hazaribagh,Jharkhand,data/Hazaribagh.csv
Begusarai - HIRED,Begusarai,Bihar,data/Begusarai.csv
BEAWAR I - HIRED,Ajmer,Rajasthan,data/Ajmer.csv
BEAWAR II - HIRED,Ajmer,Rajasthan,data/Ajmer.csv
Bhagalpur - HIRED,Bhagalpur,Bihar,data/Bhagalpur.csv
BHARATPUR,Bharatpur,Rajasthan,data/Bharatpur.csv
BHAVNAGAR,Bhavnagar,Gujarat,data/Bhavnagar.csv
BHIND,Bhind,Madhya Pradesh,data/Bhind.csv
BHIWANI - HIRED,Bhiwani,Haryana,data/Bhiwani.csv
BHOPAL-I,Bhopal,Madhya Pradesh,data/Bhopal.csv
BIDAR,Bidar,Karnataka,data/Bidar.csv
BIKANER-I,Bikaner,Rajasthan,data/Bikaner.csv
BIKANER-II,Bikaner,Rajasthan,data/Bikaner.csv
BILASPUR-I,Bilaspur,Chhattisgarh,data/Bilaspur.csv
BILASPUR-II,Bilaspur,Chhattisgarh,data/Bilaspur.csv
BISHNUPUR,Bankura,West Bengal,data/Bankura.csv
Bishnupur FSD - PMS,Bishnupur,Manipur,data/Bishnupur.csv
BODHAN,Nizamabad,Telangana,data/Nizamabad.csv
BOLANGIR,Bolangir,Odisha,data/Balangir.csv
BONGAIGAON-HIRED,Bongaigaon,Assam,data/Bongaigaon.csv
BURHANPUR-I,Burhanpur,Madhya Pradesh,data/Burhanpur.csv
