WarehouseName,District,State,lat,long
LALABAZAR FSD - PMS,Kolkata,West Bengal,22.5726459,88.3638953
AANAMALAI-HIRED NAFED,Coimbatore,Tamil Nadu,11.0018115,76.9628425
ABOHAR-I,Fazilka,Punjab,30.3198406,74.1217943
ADONI,Kurnool,Andhra Pradesh,15.8309251,78.0425373
AEROSPACE PARK,Bengaluru,Karnataka,12.9767936,77.590082
AGARTALA-H,West Tripura,Tripura,23.9153329,91.3879341
AGARTALA-II-AMTALI,West Tripura,Tripura,23.9153329,91.3879341
ALINJIVAKKAM - HIRED NCCF,Tiruvannamalai,Tamil Nadu,12.4289282,78.99915
AMBAD-NASIK,Nashik,Maharashtra,20.0112475,73.7902364
AMBATTUR,Chennai,Tamil Nadu,13.0836939,80.270186
AMBERNATH-I,Thane,Maharashtra,19.3653598,73.3685437
AMC BHEEMADEVARAPALLY -HIRED CCI,Nagarkurnool,Telangana,16.4157627,78.6830433
AMC KALWAKURTHY -HIRED CCI,Nagarkurnool,Telangana,16.4157627,78.6830433
AMC MITTAPALLY -HIRED,Vikarabad,Telangana,17.2702855,77.745297
AMC MULUGU-HIRED CCI,Siddipet,Telangana,18.0055851,78.896113
AMC MUNIPALLY - HIRED CCI,Nalgonda,Telangana,17.0504406,79.2669235
AMC PAPANNAPET- HIRED CCI,Vikarabad,Telangana,17.2702855,77.745297
AMC WARANGAL-HIRED CCI,Warangal,Telangana,17.9820644,79.5970954
AMINGAON II - HIRED,Kamrup,Assam,26.1468861,91.2227397
AMINGAON III - HIRED,Kamrup,Assam,26.1468861,91.2227397
AMINGAON-I,Kamrup,Assam,26.1468861,91.2227397
ANKAPALLY,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
ARRAH - HIRED,Bhojpur,Bihar,25.4501182,84.5635193
ASKA,Ganjam,Odisha,19.6090068,84.7080633
ASSANDH,Karnal,Haryana,29.7255766,76.9106924
AYODHYA,Ayodhya,Uttar Pradesh,26.7990707,82.2052321
AYYANADAIPPU II-HIRED NCCF,Thanjavur,Tamil Nadu,10.659037,79.2014278
AYYANADAIPPU-HIRED NCCF,Thanjavur,Tamil Nadu,10.659037,79.2014278
AYYANADAIPPU-III-HIRED NCCF,Thanjavur,Tamil Nadu,10.659037,79.2014278
AYYANADAIPPU-IV-HIRED NCCF,Thanjavur,Tamil Nadu,10.659037,79.2014278
AZARA,Kamrup,Assam,26.1468861,91.2227397
AZARA-II-HIRED,Kamrup,Assam,26.1468861,91.2227397
BALAGHAT,Balaghat,Madhya Pradesh,21.8611589,80.3237105
BALJITPARA,Moga,Punjab,30.7877554,75.159359
Bamanheri - PFT,Latur,Maharashtra,18.3553347,76.7548997
BANASKANTHA-HIRED,Banaskantha,Gujarat,24.269387,72.5367513
BANG-I APMC,Palghar,Maharashtra,19.757249,73.0931199
BANG-V-RVLAYOUT,Bengaluru,Karnataka,12.9767936,77.590082
BARAN,Baran,Rajasthan,24.9208165,76.6821985
BARETA-HIRED,Mansa,Punjab,29.8764133,75.4889564
BARMER - HIRED,Barmer,Rajasthan,25.5814853,71.1924922
BARODA-I,Vadodara,Gujarat,22.2973142,73.1942567
BASTI,Basti,Uttar Pradesh,26.8387084,82.5350919
BAYYARAM-HIRED,Mahabubabad,Telangana,17.7138983,80.0413425
BAZPUR,Udham Singh Nagar,Uttarakhand,29.0478314,79.4326164
BELDA,Paschim Medinipur,West Bengal,22.3600119,87.4111505
BELGAUM,Belagavi,Karnataka,16.1587846,74.888862
BERHAMPORE,Murshidabad,West Bengal,24.1745993,88.2721335
