WarehouseName,District,State,lat,long
LALABAZAR FSD - PMS,Kolkata,West Bengal,,
AANAMALAI-HIRED NAFED,Coimbatore,Tamil Nadu,,
ABOHAR-I,Fazilka,Punjab,,
ADONI,Kurnool,Andhra Pradesh,,
AEROSPACE PARK,Bengaluru,Karnataka,,
AGARTALA-H,West Tripura,Tripura,,
AGARTALA-II-AMTALI,West Tripura,Tripura,,
ALINJIVAKKAM - HIRED NCCF,Tiruvannamalai,Tamil Nadu,,
AMBAD-NASIK,Nashik,Maharashtra,,
AMBATTUR,Chennai,Tamil Nadu,,
AMBERNATH-I,Thane,Maharashtra,,
AMC BHEEMADEVARAPALLY -HIRED CCI,Nagarkurnool,Telangana,,
AMC KALWAKURTHY -HIRED CCI,Nagarkurnool,Telangana,,
AMC MITTAPALLY -HIRED,Vikarabad,Telangana,,
AMC MULUGU-HIRED CCI,Siddipet,Telangana,,
AMC MUNIPALLY - HIRED CCI,Nalgonda,Telangana,,
AMC PAPANNAPET- HIRED CCI,Vikarabad,Telangana,,
AMC WARANGAL-HIRED CCI,Warangal,Telangana,,
AMINGAON II - HIRED,Kamrup,Assam,,
AMINGAON III - HIRED,Kamrup,Assam,,
AMINGAON-I,Kamrup,Assam,,
ANKAPALLY,Visakhapatnam,Andhra Pradesh,,
ARRAH - HIRED,Bhojpur,Bihar,,
ASKA,Ganjam,Odisha,,
ASSANDH,Karnal,Haryana,,
AYODHYA,Ayodhya,Uttar Pradesh,,
AYYANADAIPPU II-HIRED NCCF,Thanjavur,Tamil Nadu,,
AYYANADAIPPU-HIRED NCCF,Thanjavur,Tamil Nadu,,
AYYANADAIPPU-III-HIRED NCCF,Thanjavur,Tamil Nadu,,
AYYANADAIPPU-IV-HIRED NCCF,Thanjavur,Tamil Nadu,,
AZARA,Kamrup,Assam,,
AZARA-II-HIRED,Kamrup,Assam,,
BALAGHAT,Balaghat,Madhya Pradesh,,
BALJITPARA,Moga,Punjab,,
Bamanheri - PFT,Latur,Maharashtra,,
BANASKANTHA-HIRED,Banaskantha,Gujarat,,
BANG-I APMC,Palghar,Maharashtra,,
BANG-V-RVLAYOUT,Bengaluru,Karnataka,,
BARAN,Baran,Rajasthan,,
BARETA-HIRED,Mansa,Punjab,,
BARMER - HIRED,Barmer,Rajasthan,,
BARODA-I,Vadodara,Gujarat,,
BASTI,Basti,Uttar Pradesh,,
BAYYARAM-HIRED,Mahabubabad,Telangana,,
BAZPUR,Udham Singh Nagar,Uttarakhand,,
BELDA,Paschim Medinipur,West Bengal,,
BELGAUM,Belagavi,Karnataka,,
BERHAMPORE,Murshidabad,West Bengal,,
BERHAMPUR,Ganjam,Odisha,,
BETTIAH,West Champaran,Bihar,,
BHADOHI,Sant Ravidas Nagar,Uttar Pradesh,,
BHATAPARA-I,Raipur,Chhattisgarh,,
