WarehouseName,District,State,DistrictCSVpath
CW LALABAZAR FSD - PMS,Kolkata,West Bengal,data/Kolkata.csv
CW AANAMALAI-HIRED NAFED,Coimbatore,Tamil Nadu,data/Coimbatore.csv
CW ABOHAR-I,Fazilka,Punjab,data/Fazilka.csv
CW ADILABAD,Adilabad,Telangana,data/Adilabad.csv
CW ADILABAD II,Adilabad,Telangana,data/Adilabad.csv
CW ADONI,Kurnool,Andhra Pradesh,data/Kurnool.csv
CW AEROSPACE PARK,Bengaluru Urban,Karnataka,data/Bengaluru Urban.csv
CW AHMEDABAD-I,Ahmedabad,Gujarat,data/Ahmedabad.csv
CW AJITWAL,Moga,Punjab,data/Moga.csv
CW AKOLA-I,Akola,Maharashtra,data/Akola.csv
CW AKOLA-I-HIRED,Akola,Maharashtra,data/Akola.csv
CW AKOLA-II,Akola,Maharashtra,data/Akola.csv
CW AMBAD-NASIK,Nashik,Maharashtra,data/Nashik.csv
CW AMBATTUR,Chennai,Tamil Nadu,data/Chennai.csv
CW AMC MITTAPALLY,Medak,Telangana,data/Medak.csv
CW AMRAVATI,Amravati,Maharashtra,data/Amravati.csv
CW AMRAVATI-HIRED,Amravati,Maharashtra,data/Amravati.csv
CW AMRITSAR,Amritsar,Punjab,data/Amritsar.csv
CW AMRITSAR BD,Amritsar,Punjab,data/Amritsar.csv
CW ANAND,Anand,Gujarat,data/Anand.csv
CW ANKAPALLY,Anakapalli,Andhra Pradesh,data/Anakapalli.csv
CW ARRAH,Bhojpur,Bihar,data/Bhojpur.csv
CW ASKA,Ganjam,Odisha,data/Ganjam.csv
CW ASSANDH,Karnal,Haryana,data/Karnal.csv
CW BAHRAICH,Bahraich,Uttar Pradesh,data/Bahraich.csv
CW BALASORE-I,Balasore,Odisha,data/Balasore.csv
CW BALASORE-II,Balasore,Odisha,data/Balasore.csv
CW BALJITPARA,Barpeta,Assam,data/Barpeta.csv
CW BALLIA,Ballia,Uttar Pradesh,data/Ballia.csv
CW BANDA,Banda,Uttar Pradesh,data/Banda.csv
CW BANG-I APMC,Bengaluru Urban,Karnataka,data/Bengaluru Urban.csv
CW BANG-V-RVLAYOUT,Bengaluru Urban,Karnataka,data/Bengaluru Urban.csv
CW BARETA-HIRED,Mansa,Punjab,data/Mansa.csv
CW BARGARH,Bargarh,Odisha,data/Bargarh.csv
CW BARHI,Hazaribagh,Jharkhand,data/Hazaribagh.csv
CW BAYYARAM-HIRED,Mahabubabad,Telangana,data/Mahabubabad.csv
CW BEAWAR I,Ajmer,Rajasthan,data/Ajmer.csv
CW BEAWAR II,Ajmer,Rajasthan,data/Ajmer.csv
CW Begusarai,Begusarai,Bihar,data/Begusarai.csv
CW BERHAMPORE,Murshidabad,West Bengal,data/Murshidabad.csv
CW BERHAMPUR,Ganjam,Odisha,data/Ganjam.csv
CW Bhagalpur,Bhagalpur,Bihar,data/Bhagalpur.csv
CW BHARATPUR,Bharatpur,Rajasthan,data/Bharatpur.csv
CW BHATTU KALAN-HIRED,Fatehabad,Haryana,data/Fatehabad.csv
CW BHAVNAGAR,Bhavnagar,Gujarat,data/Bhavnagar.csv
CW BHIND,Bhind,Madhya Pradesh,data/Bhind.csv
CW BHIWANI,Bhiwani,Haryana,data/Bhiwani.csv
CW BHOGPUR,Jalandhar,Punjab,data/Jalandhar.csv
CW BHOPAL-I,Bhopal,Madhya Pradesh,data/Bhopal.csv
CW BIBIPUR,Banka,Bihar,data/Banka.csv
CW BIDAR,Bidar,Karnataka,data/Bidar.csv
CW BIKANER-I,Bikaner,Rajasthan,data/Bikaner.csv
CW BIKANER-II,Bikaner,Rajasthan,data/Bikaner.csv
CW BILASPUR-I,Bilaspur,Chhattisgarh,data/Bilaspur.csv
CW BILASPUR-II,Bilaspur,Chhattisgarh,data/Bilaspur.csv
CW BISALPUR,Pilibhit,Uttar Pradesh,data/Pilibhit.csv
CW BISHNUPUR,Bankura,West Bengal,data/Bankura.csv
CW Bishnupur FSD - PMS,Bishnupur,Manipur,data/Bishnupur.csv
CW BODHAN,Nizamabad,Telangana,data/Nizamabad.csv
CW BOLANGIR,Balangir,Odisha,data/Balangir.csv
CW BONGAIGAON-HIRED,Bongaigaon,Assam,data/Bongaigaon.csv
CW BUDLADA HIRED,Rajkot,Gujarat,data/Rajkot.csv
CW BURHANPUR-I,Burhanpur,Madhya Pradesh,data/Burhanpur.csv
CW CCI X ROAD,Raichur,Karnataka,data/Raichur.csv
CW CHAKSU,Jaipur,Rajasthan,data/Jaipur.csv
CW CHANDAUSH,Chandauli,Uttar Pradesh,data/Chandauli.csv
CW CHANDAUSH-II,Chandauli,Uttar Pradesh,data/Chandauli.csv
CW CHANDIGARH,Chandigarh,Chandigarh,data/Chandigarh.csv
CW CHARKHI DADRI,Charkhi Dadri,Haryana,data/Charkhi Dadri.csv
CW CHARKHI DADRI-HIRED,Charkhi Dadri,Haryana,data/Charkhi Dadri.csv
CW CHIDAMBARAM,Cuddalore,Tamil Nadu,data/Cuddalore.csv
CW CHIKALTHANA,Aurangabad,Maharashtra,data/Aurangabad.csv
CW CHILKAMARRI,Nizamabad,Telangana,data/Nizamabad.csv
CW CHINDWARA,Chhindwara,Madhya Pradesh,data/Chhindwara.csv
CW CHIRGAON,Jhansi,Uttar Pradesh,data/Jhansi.csv
